098,"Prohibited works, forgeries, hoaxes",3
099,Books notable for format,3
100,Philosophy & psychology,3
101,Theory of philosophy,3
102,Miscellany of philosophy,3
103,Dictionaries & encyclopedias,3
104,[Unassigned],3
105,Serial publications of philosophy,3
106,Organizations & management,3
107,"Education, research & related topics",3
108,Groups of people,3
109,History and collected biography,3
110,Metaphysics,3
111,Ontology,3
112,[Unassigned],3
113,Cosmology (Philosophy of nature),3
114,Space,3
115,Time,3
116,Change,3
117,Structure,3
118,Force and energy,3
119,Number and quantity,3
120,"Epistemology, causation, humankind",3
121,Epistemology (Theory of knowledge),3
122,Causation,3
123,Determinism and indeterminism,3
124,Teleology,3
125,[Unassigned],3
126,The self,3
127,The unconscious and the subconscious,3
128,Humankind,3
129,Origin and destiny of individual souls,3
130,Parapsychology and occultism,3
131,Parapsychological and occult methods,3
132,[Unassigned],3
133,Specific topics in parapsychology & occultism,3
134,[Unassigned],3
135,Dreams and mysteries,3
136,[Unassigned],3
137,Divinatory graphology,3
138,Physiognomy,3
139,Phrenology,3
140,Specific philosophical schools,3
141,Idealism and related systems,3
142,Critical philosophy,3
143,Bergsonism and intuitionism,3
144,Humanism and related systems,3
145,Sensationalism,3
146,Naturalism and related systems,3
147,Pantheism and related systems,3
148,"Dogmatism, eclecticism, liberalism, etc.",3
149,Other philosophical systems and doctrines,3
150,Psychology,3
151,[Unassigned],3
152,"Perception, movement, emotions & drives",3
153,Conscious mental processes & intelligence,3
154,Subconscious & altered states,3
155,Differential & developmental psychology,3
156,Comparative psychology,3
157,[Unassigned],3
158,Applied psychology,3
159,[Unassigned],3
160,Philosophical logic,3
161,Induction,3
162,Deduction,3
163,[Unassigned],3
164,[Unassigned],3
165,Fallacies and sources of error,3
166,Syllogisms,3
167,Hypotheses,3
168,Argument and persuasion,3
169,Analogy,3
170,Ethics (Moral philosophy),3
171,Ethical systems,3
172,Political ethics,3
173,Ethics of family relationships,3
174,Occupational ethics,3
175,Ethics of recreation & leisure,3
176,Ethics of sex and reproduction,3
177,Ethics of social relations,3
178,Ethics of consumption,3
179,Other ethical norms,3
180,"Ancient, medieval, eastern philosophy",3
181,Eastern philosophy,3
182,Pre-Socratic Greek philosophies,3
183,"Sophistic, Socratic, related philosophies",3
184,Platonic philosophy,3
185,Aristotelian philosophy,3
186,Skeptic and Neoplatonic philosophies,3
187,Epicurean philosophy,3
188,Stoic philosophy,3
189,Medieval western philosophy,3
190,Modern western philosophy,3
191,Philosophy of United States and Canada,3
192,Philosophy of British Isles,3
193,Philosophy of Germany and Austria,3
194,Philosophy of France,3
195,Philosophy of Italy,3
196,Philosophy of Spain and Portugal,3
197,Philosophy of Russia,3
198,Philosophy of Scandinavia and Finland,3
199,Philosophy of other geographic areas,3
200,Religion,3
201,Religious mythology & social theology,3
202,Doctrines,3
203,Public worship and other practices,3
204,"Religious experience, life, practice",3
205,Religious ethics,3
206,Leaders and organization,3
207,Missions and religious education,3
208,Sources,3
209,Sects and reform movements,3
210,Philosophy and theory of religion,3
